issue_category,week,review_count,rolling_mean,z_score,rule_flag,iforest_flag,both_flag
Ambience & Seating,2025-07-28,4,,,False,True,False
Ambience & Seating,2025-08-04,12,,,False,True,False
Ambience & Seating,2025-08-11,10,8.666666666666666,0.3202563076101744,False,False,False
Ambience & Seating,2025-08-18,10,9.0,0.28867513459481287,False,False,False
Ambience & Seating,2025-08-25,5,8.2,-0.916157334902189,False,False,False
Ambience & Seating,2025-09-01,7,8.0,-0.31622776601683794,False,False,False
Ambience & Seating,2025-09-08,14,9.666666666666666,1.3268069440075547,False,False,False
Ambience & Seating,2025-09-15,16,10.333333333333334,1.3716816017817932,False,False,False
Ambience & Seating,2025-09-22,15,11.166666666666666,0.8452683953536204,False,False,False
Ambience & Seating,2025-09-29,12,11.5,0.1109741904046188,False,False,False
Ambience & Seating,2025-10-06,11,12.5,-0.458563380386807,False,False,False
Ambience & Seating,2025-10-13,11,13.166666666666666,-1.0138937495022844,False,False,False
Ambience & Seating,2025-10-20,11,12.666666666666666,-0.7404360971988643,False,False,False
Ambience & Seating,2025-10-27,10,11.666666666666666,-0.9517337345335999,False,False,False
Ambience & Seating,2025-11-03,8,10.5,-1.8136906252750298,False,False,False
Ambience & Seating,2025-11-10,8,9.833333333333334,-1.2455047375590578,False,False,False
Ambience & Seating,2025-11-17,12,10.0,1.1952286093343947,False,False,False
Ambience & Seating,2025-11-24,7,9.333333333333334,-1.1866111313364203,False,False,False
Ambience & Seating,2025-12-01,13,9.666666666666666,1.376204706407952,False,False,False
Ambience & Seating,2025-12-08,11,9.833333333333334,0.46980923864981705,False,False,False
Ambience & Seating,2025-12-15,9,10.0,-0.42257712736425845,False,False,False
Ambience & Seating,2025-12-22,12,10.666666666666666,0.5923488777590924,False,False,False
Ambience & Seating,2025-12-29,15,11.166666666666666,1.3413872400955493,False,False,False
Ambience & Seating,2026-01-05,7,11.166666666666666,-1.4580296087995097,False,False,False
Ambience & Seating,2026-01-12,13,11.166666666666666,0.6415330278717846,False,False,False
Ambience & Seating,2026-01-19,29,14.166666666666666,1.8997328426220816,False,True,False
Ambience & Seating,2026-01-26,9,14.166666666666666,-0.661704697991961,False,False,False
Ambience & Seating,2026-02-02,10,13.833333333333334,-0.48155528613011783,False,False,False
Ambience & Seating,2026-02-09,12,13.333333333333334,-0.16736548175114463,False,False,False
Ambience & Seating,2026-02-16,14,14.5,-0.0681044706603994,False,False,False
Ambience & Seating,2026-02-23,13,14.5,-0.20431341198119823,False,False,False
Ambience & Seating,2026-03-02,14,12.0,0.95346258924559,False,False,False
Ambience & Seating,2026-03-09,15,13.0,1.118033988749888,False,False,False
Ambience & Seating,2026-03-16,7,12.5,-1.9090778698767106,False,False,False
Ambience & Seating,2026-03-23,9,12.0,-0.9302605094190624,False,False,False
Ambience & Seating,2026-03-30,8,11.0,-0.8808303292720551,False,False,False
Ambience & Seating,2026-04-06,17,11.666666666666666,1.276126454445392,False,True,False
Ambience & Seating,2026-04-13,8,10.666666666666666,-0.6308802978765116,False,False,False
Ambience & Seating,2026-04-20,6,9.166666666666666,-0.7975031508064154,False,False,False
Ambience & Seating,2026-04-27,11,9.833333333333334,0.30156729917499353,False,False,False
Ambience & Seating,2026-05-04,5,9.166666666666666,-0.9567385038418029,False,False,False
Ambience & Seating,2026-05-11,10,9.5,0.11562432251572013,False,False,False
Ambience & Seating,2026-05-18,13,8.833333333333334,1.361432850668808,False,False,False
Ambience & Seating,2026-05-25,9,9.0,0.0,False,False,False
Ambience & Seating,2026-06-01,11,9.833333333333334,0.4298444069404405,False,False,False
Ambience & Seating,2026-06-08,13,10.166666666666666,0.9461982889345406,False,False,False
Ambience & Seating,2026-06-15,9,10.833333333333334,-0.9991745768300428,False,False,False
Ambience & Seating,2026-06-22,11,11.0,0.0,False,False,False
Ambience & Seating,2026-06-29,13,11.0,1.1180339887498918,False,False,False
Ambience & Seating,2026-07-06,6,10.5,-1.6888199063418032,False,False,False
Ambience & Seating,2026-07-13,15,11.166666666666666,1.1792546078237744,False,True,False
Ambience & Seating,2026-07-20,10,10.666666666666666,-0.21223817998900418,False,False,False
Ambience & Seating,2026-07-27,8,10.5,-0.7642723006446788,False,False,False
Billing & Online Ordering Issues,2025-07-28,3,,,False,False,False
Billing & Online Ordering Issues,2025-08-04,9,,,False,True,False
Billing & Online Ordering Issues,2025-08-11,9,7.0,0.5773502691896258,False,False,False
Billing & Online Ordering Issues,2025-08-18,10,7.75,0.7027819284987273,False,False,False
Billing & Online Ordering Issues,2025-08-25,8,7.8,0.07207499701564478,False,False,False
Billing & Online Ordering Issues,2025-09-01,6,7.5,-0.5795005569646918,False,False,False
Billing & Online Ordering Issues,2025-09-08,4,7.666666666666667,-1.628959413837504,False,False,False
Billing & Online Ordering Issues,2025-09-15,7,7.333333333333333,-0.15430334996209175,False,False,False
Billing & Online Ordering Issues,2025-09-22,14,8.166666666666666,1.672364688986238,False,False,False
Billing & Online Ordering Issues,2025-09-29,8,7.833333333333333,0.049434732389013906,False,False,False
Billing & Online Ordering Issues,2025-10-06,11,8.333333333333334,0.7377111135633174,False,False,False
Billing & Online Ordering Issues,2025-10-13,7,8.5,-0.4276994613841508,False,False,False
Billing & Online Ordering Issues,2025-10-20,12,9.833333333333334,0.7402632125569324,False,False,False
Billing & Online Ordering Issues,2025-10-27,4,9.333333333333334,-1.4533448390255193,False,False,False
Billing & Online Ordering Issues,2025-11-03,8,8.333333333333334,-0.11593472394004226,False,False,False
Billing & Online Ordering Issues,2025-11-10,5,7.833333333333333,-0.8886042349318382,False,False,False
Billing & Online Ordering Issues,2025-11-17,4,6.666666666666667,-0.8667027800348789,False,False,False
Billing & Online Ordering Issues,2025-11-24,6,6.5,-0.16222142113076252,False,False,False
Billing & Online Ordering Issues,2025-12-01,4,5.166666666666667,-0.7282190812544184,False,False,False
Billing & Online Ordering Issues,2025-12-08,7,5.666666666666667,0.8164965809277249,False,False,False
Billing & Online Ordering Issues,2025-12-15,11,6.166666666666667,1.8311934735248652,False,False,False
Billing & Online Ordering Issues,2025-12-22,13,7.5,1.4752148971610053,False,False,False
Billing & Online Ordering Issues,2025-12-29,7,8.0,-0.2988071523335984,False,False,False
Billing & Online Ordering Issues,2026-01-05,50,15.333333333333334,2.005943549507195,True,True,True
Billing & Online Ordering Issues,2026-01-12,9,16.166666666666668,-0.4281628412181979,False,False,False
Billing & Online Ordering Issues,2026-01-19,8,16.333333333333332,-0.5010030100351265,False,False,False
Billing & Online Ordering Issues,2026-01-26,11,16.333333333333332,-0.3206419264224809,False,False,False
Billing & Online Ordering Issues,2026-02-02,9,15.666666666666666,-0.39513038984679977,False,False,False
Billing & Online Ordering Issues,2026-02-09,5,15.333333333333334,-0.6044366583571323,False,False,False
